Depth	Dataset	Tools	TP1	TP2	FP	TN	FN	Accuracy	Precision	Sensitivity	Specificity	F1score	False_Positive_Rate	False_Negative	Base_pair_Difference	Redundancy
10X	dataset2	Circle_finder	8539.0	12601.0	509.0	10000.0	961.0	0.9265330601229447	0.9437444739168878	0.8988421052631579	0.9515653249595585	0.9207461720940263	0.04843467504044153	0.1011578947368421	1.49	1.48
10X	dataset2	CircleMap	9263.0	12113.0	1782.0	10000.0	737.0	0.8843540538058948	0.8386600271616116	0.9263	0.8487523340689187	0.880304110239962	0.1512476659310813	0.0737	19.78	1.31
10X	dataset2	ecc_finder	7292.0	7311.0	168.0	10000.0	2708.0	0.85739785799286	0.9774798927613941	0.7292	0.983477576711251	0.8352806414662085	0.016522423288749016	0.2708	1.62	1.0
10X	dataset2	ECCsplorer	8587.0	8779.0	3401.0	10000.0	1413.0	0.7942822956283919	0.7162996329662996	0.8587	0.7462129691814043	0.7810623976714571	0.2537870308185956	0.1413	2.49	1.02
10X	dataset3	Deep_EccScan	9527.0	9875.0	6.0	10000.0	473.0	0.9760571828451464	0.9993706073638938	0.9527	0.9994003597841296	0.9754773972252087	0.0005996402158704777	0.0473	0.95	1.04
10X	dataset3	Circle_finder	8564.0	13462.0	514.0	10000.0	936.0	0.9275507144998502	0.9433795990306235	0.9014736842105263	0.9511128019783146	0.9219506943696847	0.04888719802168537	0.09852631578947368	1.61	1.57
10X	dataset3	CircleMap	9320.0	11052.0	1094.0	10000.0	680.0	0.915900255996966	0.8949491069713846	0.932	0.9013881377321075	0.913098853727834	0.09861186226789255	0.068	10.22	1.19
10X	dataset3	ecc_finder	7841.0	7885.0	151.0	10000.0	2159.0	0.8853654905463749	0.9811061061061062	0.7841	0.9851246182642104	0.8716096042685638	0.014875381735789577	0.2159	1.61	1.01
10X	dataset3	ECCsplorer	8956.0	9197.0	2260.0	10000.0	1044.0	0.8515723270440252	0.7985021398002853	0.8956	0.8156606851549756	0.8442684766214178	0.18433931484502447	0.1044	1.34	1.03
10X	dataset4	Deep_EccScan	9415.0	9680.0	8.0	10000.0	585.0	0.9703618552578969	0.999151013477661	0.9415	0.9992006394884093	0.9694691860165783	0.0007993605115907274	0.0585	1.46	1.03
10X	dataset4	Circle_finder	8595.0	11854.0	503.0	10000.0	905.0	0.9296105584162375	0.9447131237634645	0.9047368421052632	0.9521089212605922	0.924292934724164	0.04789107873940779	0.09526315789473684	1.47	1.38
10X	dataset4	CircleMap	9297.0	12567.0	2057.0	10000.0	703.0	0.8748696558915537	0.818830368152193	0.9297	0.829393713195654	0.870750210733352	0.17060628680434603	0.0703	24.95	1.35
10X	dataset4	ecc_finder	7058.0	7075.0	234.0	10000.0	2942.0	0.8430364732628249	0.9679100383982446	0.7058	0.9771350400625366	0.8163312514457552	0.022864959937463358	0.2942	1.59	1.0
10X	dataset4	ECCsplorer	8088.0	8202.0	3435.0	10000.0	1912.0	0.7718369959462342	0.7019005467326217	0.8088	0.744324525493115	0.7515680899502857	0.255675474506885	0.1912	2.34	1.01
